iter	Passed	Remaining
1091	34292	122724
1092	34319	122677
1093	34351	122647
1094	34383	122618
1095	34414	122584
1096	34443	122547
1097	34476	122519
1098	34509	122493
1099	34540	122462
1100	34572	122431
1101	34604	122404
1102	34636	122372
1103	34666	122336
1104	34697	122303
1105	34729	122277
1106	34761	122245
1107	34790	122207
1108	34823	122179
1109	34850	122132
1110	34879	122095
1111	34910	122061
1112	34941	122029
1113	34972	121996
1114	35002	121959
1115	35032	121923
1116	35062	121887
1117	35093	121853
1118	35125	121826
1119	35156	121793
1120	35188	121762
1121	35222	121739
1122	35252	121703
1123	35283	121670
1124	35314	121639
1125	35346	121608
1126	35375	121570
1127	35406	121536
1128	35439	121509
1129	35472	121486
1130	35503	121452
1131	35533	121417
1132	35565	121388
1133	35596	121352
1134	35625	121316
1135	35655	121280
1136	35688	121251
1137	35720	121222
1138	35752	121193
1139	35782	121157
1140	35811	121120
1141	35840	121078
1142	35870	121042
1143	35902	121012
1144	35932	120977
1145	35962	120942
1146	35992	120905
1147	36020	120864
1148	36050	120827
1149	36082	120798
1150	36112	120763
1151	36143	120729
1152	36173	120692
1153	36207	120669
1154	36237	120633
1155	36267	120597
1156	36297	120561
1157	36329	120533
1158	36361	120504
1159	36391	120467
1160	36422	120435
1161	36452	120399
1162	36482	120365
1163	36514	120336
1164	36545	120303
1165	36573	120261
1166	36606	120233
1167	36635	120192
1168	36666	120162
1169	36696	120126
1170	36726	120089
1171	36758	120060
1172	36790	120031
1173	36822	120000
1174	36852	119968
1175	36883	119935
1176	36916	119906
1177	36949	119880
1178	36982	119856
1179	37012	119821
1180	37045	119794
1181	37076	119762
1182	37106	119726
1183	37137	119691
1184	37167	119657
1185	37199	119628
1186	37231	119599
1187	37264	119571
1188	37295	119540
1189	37326	119507
1190	37359	119480
1191	37389	119446
1192	37421	119415
1193	37453	119388
1194	37486	119360
1195	37515	119322
1196	37545	119286
1197	37576	119254
1198	37607	119220
1199	37640	119194
1200	37670	119158
1201	37702	119130
1202	37733	119097
1203	37762	119059
1204	37792	119023
1205	37823	118991
1206	37854	118957
1207	37884	118921
1208	37917	118894
1209	37945	118853
1210	37976	118820
1211	38006	118784
1212	38037	118751
1213	38068	118720
1214	38099	118689
1215	38132	118660
1216	38164	118632
1217	38194	118596
1218	38222	118556
1219	38253	118522
1220	38283	118486
1221	38313	118450
1222	38345	118424
1223	38377	118394
1224	38410	118367
1225	38440	118331
1226	38473	118304
1227	38504	118273
1228	38536	118242
1229	38568	118214
1230	38601	118188
1231	38631	118153
1232	38663	118121
1233	38697	118098
1234	38730	118073
1235	38762	118044
1236	38795	118016
1237	38827	117986
1238	38858	117954
1239	38891	117928
1240	38921	117892
1241	38955	117868
1242	38985	117833
1243	39019	117810
1244	39049	117775
1245	39081	117746
1246	39112	117713
1247	39143	117681
1248	39175	117652
1249	39207	117622
1250	39238	117589
1251	39269	117556
1252	39301	117528
1253	39332	117494
1254	39362	117460
1255	39395	117433
1256	39426	117402
1257	39460	117376
1258	39490	117341
1259	39521	117310
1260	39554	117281
1261	39586	117255
1262	39619	117228
1263	39654	117205
1264	39684	117170
1265	39714	117136
1266	39747	117110
1267	39779	117080
1268	39810	117047
1269	39842	117017
1270	39870	116975
1271	39900	116940
1272	39930	116905
1273	39963	116879
1274	39996	116853
1275	40031	116832
1276	40061	116796
1277	40092	116763
1278	40125	116737
1279	40159	116712
1280	40190	116680
1281	40222	116651
1282	40256	116627
1283	40287	116595
1284	40318	116562
1285	40348	116527
1286	40378	116491
1287	40404	116444
1288	40435	116412
1289	40469	116388
1290	40499	116354
1291	40531	116323
1292	40562	116291
1293	40595	116264
1294	40626	116231
1295	40656	116197
1296	40691	116175
1297	40720	116138
1298	40751	116104
1299	40784	116078
1300	40815	116047
1301	40846	116013
1302	40877	115981
1303	40908	115948
1304	40940	115919
1305	40972	115890
1306	41005	115863
1307	41035	115828
1308	41065	115794
1309	41096	115759
1310	41127	115728
1311	41158	115695
1312	41190	115666
1313	41220	115631
1314	41252	115600
1315	41282	115565
1316	41313	115532
1317	41343	115498
1318	41376	115470
1319	41406	115435
1320	41436	115399
1321	41467	115368
1322	41499	115339
1323	41533	115314
1324	41563	115280
1325	41593	115245
1326	41627	115221
1327	41658	115187
1328	41686	115146
1329	41715	115110
1330	41745	115075
1331	41779	115050
1332	41809	115015
1333	41843	114991
1334	41875	114961
1335	41905	114927
1336	41934	114887
1337	41964	114852
1338	41997	114825
1339	42028	114795
1340	42062	114770
1341	42094	114739
1342	42124	114705
1343	42155	114673
1344	42187	114642
1345	42219	114613
1346	42248	114576
1347	42282	114551
1348	42314	114521
1349	42346	114491
1350	42377	114458
1351	42403	114414
1352	42436	114387
1353	42468	114358
1354	42503	114336
1355	42536	114309
1356	42567	114277
1357	42609	114273
1358	42639	114238
1359	42671	114207
1360	42702	114176
1361	42735	114150
1362	42768	114122
1363	42799	114090
1364	42831	114059
1365	42861	114025
1366	42892	113993
1367	42926	113969
1368	42958	113937
1369	42990	113909
1370	43022	113879
1371	43055	113851
1372	43085	113818
1373	43118	113790
1374	43148	113754
1375	43181	113729
1376	43213	113698
1377	43245	113669
1378	43277	113639
1379	43319	113634
1380	43351	113604
1381	43381	113571
1382	43411	113535
1383	43444	113507
1384	43476	113477
1385	43508	113447
1386	43538	113413
1387	43568	113379
1388	43602	113353
1389	43634	113323
1390	43666	113293
1391	43699	113268
1392	43731	113237
1393	43765	113213
1394	43799	113187
1395	43832	113161
1396	43867	113138
1397	43898	113106
1398	43928	113071
1399	43963	113049
1400	43995	113018
1401	44025	112984
1402	44055	112950
1403	44086	112917
1404	44119	112890
1405	44151	112860
1406	44183	112830
1407	44215	112800
1408	44247	112770
1409	44280	112741
1410	44311	112711
1411	44345	112684
1412	44375	112650
1413	44408	112621
1414	44439	112590
1415	44469	112555
1416	44497	112516
1417	44528	112483
1418	44561	112456
1419	44592	112424
1420	44626	112398
1421	44657	112364
1422	44685	112325
1423	44716	112293
1424	44747	112260
1425	44779	112231
1426	44811	112201
1427	44843	112171
1428	44874	112137
1429	44906	112109
1430	44935	112071
1431	44965	112037
1432	44997	112007
1433	45028	111973
1434	45058	111938
1435	45088	111905
1436	45118	111870
1437	45148	111835
1438	45179	111803
1439	45209	111767
1440	45241	111738
1441	45273	111708
1442	45305	111677
1443	45338	111649
1444	45370	111621
1445	45401	111588
1446	45431	111554
1447	45464	111525
1448	45496	111497
1449	45529	111469
1450	45561	111437
1451	45590	111402
1452	45621	111368
1453	45652	111337
1454	45683	111305
1455	45714	111273
1456	45745	111239
1457	45775	111206
1458	45807	111175
1459	45837	111140
1460	45867	111106
1461	45900	111077
1462	45931	111044
1463	45962	111012
1464	45994	110982
1465	46027	110955
1466	46060	110927
1467	46090	110893
1468	46120	110859
1469	46153	110832
1470	46187	110807
1471	46218	110774
1472	46251	110747
1473	46284	110718
1474	46315	110685
1475	46345	110651
1476	46377	110621
1477	46409	110592
1478	46439	110557
1479	46470	110523
1480	46500	110490
1481	46532	110458
1482	46563	110427
1483	46597	110402
1484	46629	110373
1485	46663	110346
1486	46692	110310
1487	46722	110275
1488	46753	110242
1489	46785	110212
1490	46819	110186
1491	46853	110162
1492	46884	110129
1493	46917	110101
1494	46951	110076
1495	46983	110046
1496	47013	110012
1497	47043	109977
1498	47074	109945
1499	47105	109912
1500	47136	109881
1501	47168	109849
1502	47198	109815
1503	47230	109786
1504	47262	109756
1505	47293	109722
1506	47326	109694
1507	47358	109666
1508	47388	109631
1509	47420	109601
1510	47454	109575
1511	47484	109541
1512	47518	109515
1513	47550	109486
1514	47583	109458
1515	47617	109431
1516	47647	109397
1517	47677	109363
1518	47710	109335
1519	47743	109306
1520	47773	109272
1521	47803	109238
1522	47833	109203
1523	47865	109174
1524	47899	109148
1525	47931	109117
1526	47965	109092
1527	47997	109062
1528	48030	109034
1529	48061	109001
1530	48091	108966
1531	48120	108931
1532	48151	108897
1533	48181	108863
1534	48215	108839
1535	48248	108809
1536	48279	108777
1537	48311	108747
1538	48344	108720
1539	48376	108690
1540	48406	108655
1541	48437	108622
1542	48467	108587
1543	48498	108555
1544	48530	108525
1545	48562	108496
1546	48592	108462
1547	48623	108429
1548	48656	108400
1549	48688	108371
1550	48720	108340
1551	48751	108308
1552	48783	108278
1553	48813	108243
1554	48844	108210
1555	48873	108175
1556	48906	108146
1557	48937	108115
1558	48971	108089
1559	49005	108064
1560	49037	108033
1561	49064	107992
1562	49096	107962
1563	49129	107933
1564	49159	107898
1565	49188	107863
1566	49222	107837
1567	49256	107810
1568	49288	107781
1569	49320	107750
1570	49351	107719
1571	49383	107687
1572	49417	107662
1573	49447	107627
1574	49477	107594
1575	49510	107566
1576	49540	107531
1577	49569	107495
1578	49599	107461
1579	49630	107427
1580	49661	107394
1581	49691	107360
1582	49722	107327
1583	49753	107297
1584	49783	107263
1585	49817	107235
1586	49847	107201
1587	49881	107175
1588	49915	107149
1589	49947	107120
1590	49980	107091
1591	50012	107062
1592	50042	107028
1593	50073	106995
1594	50103	106960
1595	50136	106932
1596	50168	106903
1597	50201	106874
1598	50232	106841
1599	50262	106807
1600	50292	106773
1601	50322	106739
1602	50353	106705
1603	50386	106678
1604	50417	106647
1605	50452	106622
1606	50486	106595
1607	50517	106565
1608	50547	106530
1609	50581	106504
1610	50613	106473
1611	50643	106438
1612	50675	106409
1613	50706	106375
1614	50736	106343
1615	50764	106303
1616	50795	106271
1617	50828	106243
1618	50859	106210
1619	50890	106178
1620	50920	106145
1621	50952	106114
1622	50982	106080
1623	51012	106046
1624	51045	106018
1625	51076	105986
1626	51108	105955
1627	51142	105929
1628	51173	105897
1629	51204	105864
1630	51236	105834
1631	51268	105805
1632	51301	105775
1633	51332	105742
1634	51364	105712
1635	51394	105678
1636	51425	105647
1637	51455	105612
1638	51488	105585
1639	51521	105556
1640	51551	105522
1641	51584	105493
1642	51615	105462
1643	51646	105430
1644	51676	105395
1645	51704	105357
1646	51738	105331
1647	51768	105297
1648	51802	105269
1649	51833	105238
1650	51864	105205
1651	51897	105177
1652	51927	105143
1653	51959	105113
1654	51993	105085
1655	52027	105059
1656	52057	105026
1657	52091	104999
1658	52121	104966
1659	52151	104932
1660	52182	104898
1661	52214	104869
1662	52245	104836
